sound_sample_name,sample,form,geol,hit_number,sample_name,sample_number,sound_sample_name_simple,sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end
L_pl_a_1,L,pl,a,1,S01,1,S01_1,1,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_2,L,pl,a,2,S01,1,S01_2,2,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_3,L,pl,a,3,S01,1,S01_3,3,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_4,L,pl,a,4,S01,1,S01_4,4,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_5,L,pl,a,5,S01,1,S01_5,5,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_6,L,pl,a,6,S01,1,S01_6,6,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_7,L,pl,a,7,S01,1,S01_7,7,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_8,L,pl,a,8,S01,1,S01_8,8,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_9,L,pl,a,9,S01,1,S01_9,9,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_b_1,L,pl,b,1,S02,2,S02_1,1,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_2,L,pl,b,2,S02,2,S02_2,2,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_3,L,pl,b,3,S02,2,S02_3,3,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_4,L,pl,b,4,S02,2,S02_4,4,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_5,L,pl,b,5,S02,2,S02_5,5,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_6,L,pl,b,6,S02,2,S02_6,6,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_7,L,pl,b,7,S02,2,S02_7,7,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_8,L,pl,b,8,S02,2,S02_8,8,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_9,L,pl,b,9,S02,2,S02_9,9,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_e_1,L,pl,e,1,S03,3,S03_1,1,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_2,L,pl,e,2,S03,3,S03_2,2,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_3,L,pl,e,3,S03,3,S03_3,3,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_4,L,pl,e,4,S03,3,S03_4,4,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_5,L,pl,e,5,S03,3,S03_5,5,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_6,L,pl,e,6,S03,3,S03_6,6,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_7,L,pl,e,7,S03,3,S03_7,7,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
