sound_sample_name,sample,form,geol,hit_number,sample_name,sample_number,sound_sample_name_simple,sound_number,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n
L_pl_a_1,L,pl,a,1,S01,1,S01_1,1,2748.00,0.37,2590.00,0.73,2499.76,1.02
L_pl_a_2,L,pl,a,2,S01,1,S01_2,2,2748.00,0.37,2590.00,0.73,2499.76,1.02
L_pl_a_3,L,pl,a,3,S01,1,S01_3,3,2748.00,0.37,2590.00,0.73,2499.76,1.02
L_pl_a_4,L,pl,a,4,S01,1,S01_4,4,2748.00,0.37,2590.00,0.73,2499.76,1.02
L_pl_a_5,L,pl,a,5,S01,1,S01_5,5,2748.00,0.37,2590.00,0.73,2499.76,1.02
L_pl_a_6,L,pl,a,6,S01,1,S01_6,6,2748.00,0.37,2590.00,0.73,2499.76,1.02
L_pl_a_7,L,pl,a,7,S01,1,S01_7,7,2748.00,0.37,2590.00,0.73,2499.76,1.02
L_pl_a_8,L,pl,a,8,S01,1,S01_8,8,2748.00,0.37,2590.00,0.73,2499.76,1.02
L_pl_a_9,L,pl,a,9,S01,1,S01_9,9,2748.00,0.37,2590.00,0.73,2499.76,1.02
L_pl_b_1,L,pl,b,1,S02,2,S02_1,1,3289.00,0.42,3165.00,0.54,3116.34,0.57
L_pl_b_2,L,pl,b,2,S02,2,S02_2,2,3289.00,0.42,3165.00,0.54,3116.34,0.57
L_pl_b_3,L,pl,b,3,S02,2,S02_3,3,3289.00,0.42,3165.00,0.54,3116.34,0.57
L_pl_b_4,L,pl,b,4,S02,2,S02_4,4,3289.00,0.42,3165.00,0.54,3116.34,0.57
L_pl_b_5,L,pl,b,5,S02,2,S02_5,5,3289.00,0.42,3165.00,0.54,3116.34,0.57
L_pl_b_6,L,pl,b,6,S02,2,S02_6,6,3289.00,0.42,3165.00,0.54,3116.34,0.57
L_pl_b_7,L,pl,b,7,S02,2,S02_7,7,3289.00,0.42,3165.00,0.54,3116.34,0.57
L_pl_b_8,L,pl,b,8,S02,2,S02_8,8,3289.00,0.42,3165.00,0.54,3116.34,0.57
L_pl_b_9,L,pl,b,9,S02,2,S02_9,9,3289.00,0.42,3165.00,0.54,3116.34,0.57
L_pl_e_1,L,pl,e,1,S03,3,S03_1,1,1665.21,0.61,1579.02,0.69,1566.54,0.77
L_pl_e_2,L,pl,e,2,S03,3,S03_2,2,1665.21,0.61,1579.02,0.69,1566.54,0.77
L_pl_e_3,L,pl,e,3,S03,3,S03_3,3,1665.21,0.61,1579.02,0.69,1566.54,0.77
L_pl_e_4,L,pl,e,4,S03,3,S03_4,4,1665.21,0.61,1579.02,0.69,1566.54,0.77
